       8       
    time      volt      loop
====================
       0               0               0               
    2000           -1500               0               
    2000           -1500               0               
     200               0            9999               
    2000               0              -1               
    1000           -1500              -1               
    5000           -1500              -1               
     500               0              -1               
